date_first_contact,company,recipient,role,recipient_class,channel,stage,teardown,message_variant,meaningful_reply,notes
2026-08-19,CloudTech24,P-01,Head of Sales,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/01-cloudtech24.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@cloudtech24.com; verified in Sent; no immediate delivery failure
2026-08-19,TWC IT Solutions,P-02,CEO,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/02-twc-it-solutions.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@twcitsolutions.com; verified in Sent; no immediate delivery failure
2026-08-19,Texaport,P-03,Founder and CEO,role_inbox,email,misrouted_support_queue,experiments/EXP-ACQ-0001/sales/teardowns/03-texaport.md,OBS-ECON-CTA-v1,,Sent via Gmail to support@texaport.co.uk; subject requests routing to Hugh; automated intake ticket 0095170 received; official contact page confirms this is the published project-enquiry route; not a meaningful reply; no duplicate same-day send | delivered but auto-logged as service-desk ticket ID 0095170; no commercial owner will see it
2026-08-19,Netitude,P-04,Managing Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/04-netitude.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@netitude.co.uk; subject requests routing to Adam; verified in Sent; no immediate delivery failure
2026-08-19,ADL Consulting,P-05,Managing Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/05-adl-consulting.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@adlconsulting.co.uk; subject requests routing to Andy; verified in Sent; no immediate delivery failure
2026-08-19,Wavex Technology,P-06,CEO and Founder,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/06-wavex-technology.md,OBS-ECON-CTA-v1,,Sent via Gmail to ROLE_INBOX; subject requests routing to Gavin; verified in Sent; no immediate delivery failure
2026-08-19,The HBP Group,P-07,Chief Marketing Officer,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/07-the-hbp-group.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@thehbpgroup.co.uk; subject requests routing to Phil; verified in Sent; no immediate delivery failure
2026-08-19,Transputec,P-08,Chief Executive Officer,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/08-transputec.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@transputec.com; subject requests routing to Sonny; verified in Sent; no immediate delivery failure
2026-08-19,Secure Chain,P-09,CEO and Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/10-secure-chain.md,OBS-ECON-CTA-v1,,Updated the existing unsent Gmail draft and sent it to info@securechaingroup.com; verified in Sent; no immediate delivery failure
2026-08-19,Morcan IT Solutions,P-10,Managing Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/11-morcan-it-solutions.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@morcan.co.uk; subject requests routing to Roger; verified in Sent; no immediate delivery failure
2026-08-19,cyberISMS,Commercial owner,Commercial growth owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/12-cyberisms.md,OBS-ECON-CTA-v1,,Sent via Gmail to contact@cyberisms.uk with explicit routing request; Gmail message 1a01abf48fc338b6 confirmed SENT
2026-08-19,Fortitude Cyber,Founder or director,Founder/Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/13-fortitude-cyber.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@fortitudecyber.co.uk with explicit routing request; Gmail message 1a01abf60ba368f2 confirmed SENT
2026-08-19,Aursec,Founder or director,Founder/Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/14-aursec.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@aursec.co.uk with explicit routing request; Gmail message 1a01abf7a1b2f7aa confirmed SENT
2026-08-19,Intergence,P-11,Founder and CEO,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/15-intergence.md,OBS-ECON-CTA-v1,,Sent via Gmail to contact@intergence.com; subject requests routing to Peter; Gmail message 1a01abf94afa9188 confirmed SENT
2026-08-19,Technical Drive,P-12,Managing Director,named_buyer,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/16-technical-drive.md,OBS-ECON-CTA-v1,,Sent via Gmail to Simon's address published in the current service guide; Gmail message 1a01abfaf82ed06d confirmed SENT
2026-08-19,Opus Technology,P-13,Marketing Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/17-opus-technology.md,OBS-ECON-CTA-v1,,Sent via Gmail to the sales address published on the official domain; subject requests routing to Nikki; Gmail message 1a01ac18da6732bc confirmed SENT
2026-08-19,Littlefish,P-14,Cyber Services Director,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/19-littlefish.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@littlefish.co.uk published on the current contact page; subject requests routing to Sean; Gmail message 1a01ac1b20329575 confirmed SENT
2026-08-19,Zenzero,P-15,CEO,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/20-zenzero.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@zenzero.co.uk; subject requests routing to Michael; Gmail message 1a01abfc8dec5192 confirmed SENT
2026-08-19,Chorus,P-16,CEO,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/21-chorus.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@chorus.co.uk; subject requests routing to Nicola; Gmail message 1a01abfe463f2128 confirmed SENT
2026-08-19,Air IT,Commercial owner,Managed cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/22-air-it.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@airit.co.uk; Gmail message 1a01af5ee5435e82 confirmed SENT
2026-08-19,BCN Group,P-17,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/23-bcn-group.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@bcn.co.uk; Gmail message 1a01af5f1f557410 confirmed SENT
2026-08-19,Acora,P-18,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/24-acora.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@acora.com; Gmail message 1a01af5f3fa890c5 confirmed SENT
2026-08-19,ramsac,P-19,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/25-ramsac.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@ramsac.com; Gmail message 1a01af5f407a9018 confirmed SENT
2026-08-19,Quiss,P-20,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/26-quiss.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@quiss.co.uk; Gmail message 1a01af5f9bb8491c confirmed SENT
2026-08-19,Bluecube,P-21,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/27-bluecube.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@bluecubecloud.com; Gmail message 1a01af5faba50dad confirmed SENT
2026-08-19,Fifosys,P-22,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/28-fifosys.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@fifosys.com; Gmail message 1a01af5fed073424 confirmed SENT
2026-08-19,NormCyber,P-23,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/29-normcyber.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@normcyber.com; Gmail message 1a01af6038095410 confirmed SENT
2026-08-19,Cyber Tec Security,P-24,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/30-cyber-tec-security.md,OBS-ECON-CTA-v1,,Sent via Gmail to contact@cybertecsecurity.com; Gmail message 1a01af604631caa7 confirmed SENT
2026-08-19,Mitigo,P-25,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/31-mitigo.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@mitigogroup.com; Gmail message 1a01af60bbd98e1a confirmed SENT
2026-08-19,Central Technology,Commercial owner,Cyber commercial owner,role_inbox,email,bounced,experiments/EXP-ACQ-0001/sales/teardowns/32-central-technology.md,OBS-ECON-CTA-v1,,Sent via Gmail to sales@ct.uk; Gmail message 1a01af62f4b704b5 confirmed SENT | hard bounce 2026-08-19: sales@ct.uk M365 group rejects external senders
2026-08-19,Xperience,Commercial owner,Cyber commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/33-xperience.md,OBS-ECON-CTA-v1,,Sent via Gmail to enquiries@xperience-group.com; Gmail message 1a01af6330db8639 confirmed SENT
2026-08-19,totality services,Commercial owner,Commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/34-totality-services.md,OBS-ECON-CTA-v1,,Sent via Gmail to info@totalityservices.co.uk; Gmail message 1a01af635ad56382 confirmed SENT
2026-08-19,Carden IT Group,Commercial owner,Managed services commercial owner,role_inbox,email,sent_awaiting_reply,experiments/EXP-ACQ-0001/sales/teardowns/35-carden-it-group.md,OBS-ECON-CTA-v1,,Sent via Gmail to hello@cardenitgroup.com; Gmail message 1a01af6371dc7caa confirmed SENT
