date_first_contact,company,recipient,role,channel,stage,teardown,message_variant,meaningful_reply,notes
,CloudTech24,John Hosegood,Head of Sales,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/01-cloudtech24.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,TWC IT Solutions,Paolo Sartori,CEO,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/02-twc-it-solutions.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,Texaport,Hugh Caldwell,Founder and CEO,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/03-texaport.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,Netitude,Adam Harling,Managing Director,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/04-netitude.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,ADL Consulting,Andy Larkum,Managing Director,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/05-adl-consulting.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,Wavex Technology,Gavin Russell,CEO and Founder,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/06-wavex-technology.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,The HBP Group,Phil Denham,Chief Marketing Officer,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/07-the-hbp-group.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,Transputec,Sonny Sehgal,Chief Executive Officer,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/08-transputec.md,OBS-ECON-CTA-v1,,Do not send until suppression and address are verified
,Secure Chain,Tim Brennan,CEO and Director,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/10-secure-chain.md,OBS-ECON-CTA-v1,,Role corroborated on company site and LinkedIn; verify before send
,Morcan IT Solutions,Roger Eales,Managing Director,manual LinkedIn or verified work email,ready_pending_execute,sales/teardowns/11-morcan-it-solutions.md,OBS-ECON-CTA-v1,,Replacement for disqualified Foresite; verify suppression and address
