company,website,priority,target_roles,evidence,source_url,status
CloudTech24,https://cloudtech24.com/,A,"Founder/MD; Commercial Director; Marketing Lead","Managed IT + cyber provider; initial research indicates established B2B delivery proof",https://cloudtech24.com/,ready_for_deep_research
TWC IT Solutions,https://twc-it-solutions.com/,A,"Managing Director; Commercial Lead; Marketing Lead","Managed IT + cybersecurity with SME positioning",https://twc-it-solutions.com/,ready_for_deep_research
Texaport,https://texaport.co.uk/,A,"Founder/MD; Commercial Director; Growth Lead","Managed IT/cyber for growing businesses",https://texaport.co.uk/,ready_for_deep_research
Netitude,https://www.netitude.co.uk/,A,"Managing Director; Commercial Director; Marketing Lead","Managed IT + cybersecurity with consultative funnel",https://www.netitude.co.uk/,ready_for_deep_research
ADL Consulting,https://www.adlconsulting.co.uk/,A,"Founder/Director; Commercial Manager","ISO 27001/GDPR consultancy",https://www.adlconsulting.co.uk/,ready_for_deep_research
Wavex Technology,https://www.wavex.co.uk/,A,"Commercial Director; Marketing Director; Sales Director","Managed IT + cyber + compliance",https://www.wavex.co.uk/,research
The HBP Group,https://thehbpgroup.co.uk/,A,"Commercial Director; Marketing Director; Head of Sales","Managed IT + ERP with growth positioning",https://thehbpgroup.co.uk/,research
Transputec,https://www.transputec.com/,A,"Commercial Director; Marketing Director; Sales Director","Managed IT, cyber, cloud and AI",https://www.transputec.com/,research
Foresite Cybersecurity,https://foresite.com/,B,"EMEA Commercial Lead; Marketing Director; Sales Director","US enterprise Google-SecOps provider; disqualified from UK cyber/MSP experiment after deep research",https://foresite.com/,disqualified_market_fit
Secure Chain,https://securechaingroup.com/,B,"Founder/MD; Commercial Lead","MSSP serving SMEs / regulated firms",https://securechaingroup.com/,research
Morcan IT Solutions,https://www.morcan.co.uk/,B,"Founder/MD; Commercial Lead","Security-first MSP",https://www.morcan.co.uk/,research
cyberISMS,https://www.cyberisms.uk/,B,"Founder/MD; Commercial Lead","Managed IT, cybersecurity and compliance",https://www.cyberisms.uk/,research
Fortitude Cyber,https://fortitudecyber.co.uk/,B,"Founder/Director","Cybersecurity + compliance consultancy",https://fortitudecyber.co.uk/,research
Aursec,https://www.aursec.co.uk/,B,"Founder/Director","Cyber Essentials consultancy",https://www.aursec.co.uk/,research
Intergence,https://www.intergence.com/,B,"Managing Director; Commercial Director","IT consultancy + managed services + cybersecurity",https://www.intergence.com/,research
RSK Cyber Security,,B,"Founder/MD; Commercial Lead","Cybersecurity-led provider; identity/CTA needs verification",,research
Stingrai Inc.,,B,"Founder/MD; Commercial Lead","Penetration testing / vulnerability specialist; identity/CTA needs verification",,research
Technical Drive,,B,"Commercial Director; Marketing Lead","Managed IT + cybersecurity; website/offer needs verification",,research
Opus Technology,,B,"Commercial Director; Marketing Director","Managed IT provider; website/offer needs verification",,research
Slink,,B,"Founder/MD; Commercial Lead","Managed IT + cybersecurity; website/offer needs verification",,research
Littlefish,https://www.littlefish.co.uk/,B,"Chief Commercial Officer; Marketing Director; Cyber Services Director","UK managed IT and cyber provider with CREST-accredited UK SOC and managed/co-managed services",https://www.littlefish.co.uk/cyber-services/,qualified_replacement
